Template_Name,Vehicle_ID,Vehicle_Name,Template_ID,Manufacturer_ID,Manufacturer_Name,Tech_Tier_ID,Tech_Tier_Name,Domain,Family,Vehicle_Type,Size_Class,Role,Genre_Tag,Lift_Mode,Propulsion,Power_Source,Hull_Type,Crew_Min,Crew_Std,Passenger_Cap,Cargo_t,Length_m,Beam_m,Height_m,Mass_t,Local_Cruise_kph,Water_Cruise_kph,Dive_Depth_m,Vacuum_DeltaV_kps,FTL_pc_day,Range_km,Endurance_days,Agility,Sensors,Stealth,Armor,Shields,HP,Hardpoints,Option_Slots,Operating_Cost_cr_day,Maintenance_Hours_100h,Availability,Legal_Class,Default_Option_1_ID,Default_Option_1,Option_1_Cost_cr,Default_Option_2_ID,Default_Option_2,Option_2_Cost_cr,Default_Option_3_ID,Default_Option_3,Option_3_Cost_cr,Base_Price_cr,Total_Price_cr,Notes,Source_Note,Weapon_Profile_1_ID,Weapon_Profile_1,Weapon_Profile_2_ID,Weapon_Profile_2,Default_Loadout_Cost_cr,Combat_Rating,Threat_Rating,Primary_Faction_Tag,Secondary_Faction_Tag,Civilian_Use_Tag,Rarity_Score,Rarity,Vendor_ID,Vendor_Name,Vendor_Class,Economy_Band,Acquisition_Tier,License_Requirement,Upkeep_Band,Campaign_Balance_Points,Encounter_Role,Salvage_Value_cr,Refit_Cap_cr,Crew_Quality_Minimum,Evennia_Typeclass,Prototype_Key,Vehicle_Slug,Domain_Slug,Family_Slug,Vehicle_Type_Slug,Role_Slug,Tech_Tier_Slug,Availability_Slug,Legal_Class_Slug,Rarity_Slug,Economy_Band_Slug,Encounter_Role_Slug,Lockstring,Spawn_Location_Tag,Home_Tag,Import_Action,Active
Broom,V-PFL-BR-AER-T5,Aetherion Broom Mk V,PFL-BR,AER,Aetherion Guild,5,Military,Aerial,Personal Flight,Broom,Personal,arcane personal flight,Fantasy / Arcane,Flight,Runic thrust,Mana matrix,Enchanted wood,1,2,0,0.03,1.2,0.6,0.3,0.08,135,0,0,0.0,0.0,92,0.6,10,5,8,2,4,7,2,4,138,4.1,Uncommon,Civilian,OPT-05-T5,Void Sail Trim Mk V,7258,OPT-09-T5,Shield Projector Grid Mk V,16565,OPT-30-T5,Jump Beacon Mk V,18514,4563,46900,"Broom base frame in the personal flight family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,5.0,6.0,ARC,EXP,civilian,22,Common,VEN-043,Arcane Atelier 1,atelier,Crew,Tier 1 - payroll purchase,Civic,Low,10.0,Line,10318,9380,Green,typeclasses.vehicles.Aircraft,vehicle/aerial/pfl-br,aetherion-broom-mk-v,aerial,personal-flight,broom,arcane-personal-flight,military,uncommon,civilian,common,crew,line,,,,upsert,True
Cargo lander,V-ORB-CL-AER-T5,Aetherion Cargo lander Mk V,ORB-CL,AER,Aetherion Guild,5,Military,Orbital,Orbital Craft,Cargo lander,Medium,heavy lander,Hard Sci-Fi,Flight / Vacuum,Rocket / gravitic,Antimatter / Gravitic,Orbital frame,3,5,5,22.62,18.8,10.9,6.0,47.93,220,0,0,5.9,0.0,20529,13.2,9,7,5,6,5,160,6,8,2491,17.5,Very Rare,Restricted,OPT-04-T5,Hydrojet Overdrive Mk V,5897,OPT-10-T5,Point-Defense Mesh Mk V,18026,OPT-30-T5,Jump Beacon Mk V,18514,538152,580589,"Cargo lander base frame in the orbital craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-346,Siege Beam Mk 5-M,WL-336,Siege Beam Mk 3-M,142150,19.8,30.8,NAVY,SEC,restricted,46,Rare,VEN-007,Guild Forge 1,shipyard,Industrial,Tier 3 - licensed capital,Military,Moderate,35.0,Line,104506,162565,Regular,typeclasses.vehicles.Spacecraft,vehicle/orbital/orb-cl,aetherion-cargo-lander-mk-v,orbital,orbital-craft,cargo-lander,heavy-lander,military,very-rare,restricted,rare,industrial,line,,,,upsert,True
Cargo sled,V-HUV-CG-AER-T5,Aetherion Cargo sled Mk V,HUV-CG,AER,Aetherion Guild,5,Military,Surface,Hover Utility,Cargo sled,Light,cargo / logistics,Sci-Fi / Military,Hover,Repulsorlift fans,Antimatter / Gravitic,Armored skimmer hull,1,2,1,1.23,4.3,2.3,1.6,2.43,176,35,0,0.0,0.0,790,3.9,9,6,5,4,4,31,4,6,270,8.4,Rare,Restricted,OPT-19-T5,Expanded Cargo Pods Mk V,4082,OPT-21-T5,Field Med Bay Mk V,9979,OPT-29-T5,Long-Range Tankage Mk V,5216,37071,56348,"Cargo sled base frame in the hover utility family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-260,Boarding Pod Rack Mk 4-L,WL-245,Boarding Pod Rack Mk 1-L,15946,10.2,19.2,MINE,DRIFT,civilian,34,Uncommon,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Military,Low,23.2,Line,11270,11270,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/huv-cg,aetherion-cargo-sled-mk-v,surface,hover-utility,cargo-sled,cargo-logistics,military,rare,restricted,uncommon,crew,line,,,,upsert,True
Cargo sub,V-SUB-CS-AER-T5,Aetherion Cargo sub Mk V,SUB-CS,AER,Aetherion Guild,5,Military,Submersible,Undersea Craft,Cargo sub,Heavy,blackwater logistics,Undersea / Sci-Fi,Submersible,Pumpjet / magnetohydrodynamic,Antimatter / Gravitic,Pressure hull,8,11,10,26.74,21.3,6.7,7.1,121.49,68,62,2144,0.0,0.0,2552,29.6,7,8,6,8,4,186,6,9,3459,25.8,Very Rare,Restricted,OPT-19-T5,Expanded Cargo Pods Mk V,4082,OPT-22-T5,Fabrication Nook Mk V,15103,OPT-32-T5,Science Lab Module Mk V,17296,675545,712026,"Cargo sub base frame in the undersea craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-107,Missile Rack Mk 5-H,WL-222,Torpedo Tube Mk 4-H,109442,20.9,31.9,NAVY,SEC,restricted,46,Rare,VEN-031,Pelagic Foundry 1,yard,Industrial,Tier 3 - licensed capital,Military,Moderate,36.2,Line,128165,199367,Regular,typeclasses.vehicles.Watercraft,vehicle/submersible/sub-cs,aetherion-cargo-sub-mk-v,submersible,undersea-craft,cargo-sub,blackwater-logistics,military,very-rare,restricted,rare,industrial,line,,,,upsert,True
Cargo walker,V-WKR-CW-AER-T5,Aetherion Cargo walker Mk V,WKR-CW,AER,Aetherion Guild,5,Military,Surface,Walker Frames,Cargo walker,Light,cargo / terrain,Sci-Fi / Fantasy,Walker,Servo limbs,Antimatter / Gravitic,Articulated frame,1,2,0,2.57,5.0,2.9,4.3,4.32,81,11,0,0.0,0.0,553,6.2,8,6,4,6,4,43,4,6,353,8.6,Rare,Restricted,OPT-22-T5,Fabrication Nook Mk V,15103,OPT-21-T5,Field Med Bay Mk V,9979,OPT-29-T5,Long-Range Tankage Mk V,5216,57390,87688,"Cargo walker base frame in the walker frames family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-260,Boarding Pod Rack Mk 4-L,WL-245,Boarding Pod Rack Mk 1-L,15946,11.0,20.0,MINE,DRIFT,civilian,34,Uncommon,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Military,Low,24.0,Line,17538,17538,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/wkr-cw,aetherion-cargo-walker-mk-v,surface,walker-frames,cargo-walker,cargo-terrain,military,rare,restricted,uncommon,crew,line,,,,upsert,True
Carrier,V-MAR-CV-AER-T5,Aetherion Carrier Mk V,MAR-CV,AER,Aetherion Guild,5,Military,Maritime,Sea Vessels,Carrier,Capital,air / drone carrier,Nautical / Sci-Fi,Displacement / Foil,Hydrojet / grav keel,Antimatter / Gravitic,Naval hull,55,75,192,92.55,149.8,28.9,13.8,4185.0,93,87,48,0.0,0.0,3548,22.3,5,8,3,10,4,907,10,12,15827,491.1,Very Rare,Military,OPT-05-T5,Void Sail Trim Mk V,7258,OPT-12-T5,Phase Veil Baffle Mk V,21924,OPT-32-T5,Science Lab Module Mk V,17296,1994703,2041181,"Carrier base frame in the sea vessels family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-228,Torpedo Tube Mk 5-C,WL-143,Plasma Projector Mk 4-C,225550,58.0,69.0,NAVY,SEC,restricted,61,Rare,VEN-031,Pelagic Foundry 1,yard,Corporate,Tier 4 - strategic contract,Military,High,73.9,Carrier,367413,714413,Veteran,typeclasses.vehicles.Watercraft,vehicle/maritime/mar-cv,aetherion-carrier-mk-v,maritime,sea-vessels,carrier,air-drone-carrier,military,very-rare,military,rare,corporate,carrier,,,,upsert,True
Colony ship,V-SPC-CL-AER-T5,Aetherion Colony ship Mk V,SPC-CL,AER,Aetherion Guild,5,Military,Space,Starships,Colony ship,Titanic,settlement transport,Space Opera,Vacuum,Fusion torch / gravitic,Antimatter / Gravitic,Starship hull,153,208,3000,1439.73,227.3,70.2,18.5,16875.0,187,0,0,15.9,0.5,128089,65.3,5,9,4,10,6,2523,10,16,48630,1918.7,Legendary,Sovereign,OPT-23-T5,Drone Rack Mk V,8165,OPT-21-T5,Field Med Bay Mk V,9979,OPT-31-T5,Probe Bay Mk V,5670,5662620,5686434,"Colony ship base frame in the starships family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-349,Siege Beam Mk 5-T,WL-339,Siege Beam Mk 3-T,683326,122.9,129.9,ARENA,CIV,civilian,41,Uncommon,VEN-007,Guild Forge 1,shipyard,Corporate,Tier 4 - strategic contract,Strategic,High,148.3,Siege,1137287,1990252,Elite,typeclasses.vehicles.Spacecraft,vehicle/space/spc-cl,aetherion-colony-ship-mk-v,space,starships,colony-ship,settlement-transport,military,legendary,sovereign,uncommon,corporate,siege,,,,upsert,True
Construction walker,V-WKR-CN-AER-T5,Aetherion Construction walker Mk V,WKR-CN,AER,Aetherion Guild,5,Military,Surface,Walker Frames,Construction walker,Light,engineering / salvage,Sci-Fi / Fantasy,Walker,Servo limbs,Antimatter / Gravitic,Articulated frame,2,3,1,3.09,6.4,3.7,5.4,6.49,79,11,0,0.0,0.0,580,6.5,8,6,4,6,4,58,4,8,521,8.8,Rare,Restricted,OPT-03-T5,Terrain Adaptive Actuators Mk V,4763,OPT-08-T5,Reactive Plating Array Mk V,12667,OPT-31-T5,Probe Bay Mk V,5670,83956,107056,"Construction walker base frame in the walker frames family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-065,Coilgun Mk 5-L,WL-050,Coilgun Mk 2-L,16370,11.6,20.6,NAVY,SEC,restricted,34,Uncommon,VEN-001,Transit Dock 1,dealer,Prosperity,Tier 2 - financed asset,Military,Moderate,24.6,Line,21411,29976,Regular,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/wkr-cn,aetherion-construction-walker-mk-v,surface,walker-frames,construction-walker,engineering-salvage,military,rare,restricted,uncommon,prosperity,line,,,,upsert,True
Coral citadel,V-BIO-CC-AER-T5,Aetherion Coral citadel Mk V,BIO-CC,AER,Aetherion Guild,5,Military,Space,Organic Craft,Coral citadel,Titanic,bio-fortress platform,Bio / Science Fantasy,Adaptive / Organic,Anchored drift organs,Antimatter / Gravitic,Coral-city tissue,1190,1609,10800,185107.5,1342.9,433.9,9.7,729000.0,123,52,1562,1.2,0.1,2890,19.4,4,8,6,14,10,25515,24,9,688086,82061.1,Very Rare,Sovereign,OPT-03-T5,Terrain Adaptive Actuators Mk V,4763,OPT-11-T5,Countermeasure Cloud Mk V,6577,OPT-31-T5,Probe Bay Mk V,5670,2086392,2103402,"Coral citadel base frame in the organic craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-349,Siege Beam Mk 5-T,WL-339,Siege Beam Mk 3-T,683326,1071.6,1082.6,ARC,EXP,civilian,77,Very Rare,VEN-043,Arcane Atelier 1,atelier,Corporate,Tier 4 - strategic contract,Strategic,High,2937.7,Siege,315510,736191,Elite,typeclasses.vehicles.Spacecraft,vehicle/space/bio-cc,aetherion-coral-citadel-mk-v,space,organic-craft,coral-citadel,bio-fortress-platform,military,very-rare,sovereign,very-rare,corporate,siege,,,,upsert,True
Corvette,V-SPC-CV-AER-T5,Aetherion Corvette Mk V,SPC-CV,AER,Aetherion Guild,5,Military,Space,Starships,Corvette,Heavy,escort combatant,Space Opera,Vacuum,Fusion torch / gravitic,Antimatter / Gravitic,Starship hull,15,21,14,12.34,24.9,12.4,6.6,187.78,204,0,0,13.4,0.6,104544,55.0,8,8,5,8,6,312,8,9,5564,37.3,Very Rare,Military,OPT-09-T5,Shield Projector Grid Mk V,16565,OPT-27-T5,Bombardment Core Mk V,46872,OPT-01-T5,Afterburner Vector Pack Mk V,5670,1038516,1107623,"Corvette base frame in the starships family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-347,Siege Beam Mk 5-H,WL-337,Siege Beam Mk 3-H,251878,30.2,41.2,NAVY,SEC,restricted,50,Rare,VEN-007,Guild Forge 1,shipyard,Industrial,Tier 3 - licensed capital,Military,Moderate,45.3,Line,199372,310134,Regular,typeclasses.vehicles.Spacecraft,vehicle/space/spc-cv,aetherion-corvette-mk-v,space,starships,corvette,escort-combatant,military,very-rare,military,rare,industrial,line,,,,upsert,True
Courier,V-ORB-CR-AER-T5,Aetherion Courier Mk V,ORB-CR,AER,Aetherion Guild,5,Military,Orbital,Orbital Craft,Courier,Light,express orbital courier,Hard Sci-Fi,Flight / Vacuum,Rocket / gravitic,Antimatter / Gravitic,Orbital frame,1,2,2,1.75,9.4,5.5,3.2,15.55,353,0,0,7.7,0.0,18014,11.9,9,7,6,6,5,69,4,7,856,9.8,Rare,Restricted,OPT-13-T5,Survey Sensor Suite Mk V,6124,OPT-29-T5,Long-Range Tankage Mk V,5216,OPT-05-T5,Void Sail Trim Mk V,7258,180890,199488,"Courier base frame in the orbital craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-295,Point Defense Grid Mk 3-L,WL-260,Boarding Pod Rack Mk 4-L,17646,12.1,21.1,NAVY,SEC,restricted,34,Uncommon,VEN-007,Guild Forge 1,shipyard,Prosperity,Tier 2 - financed asset,Military,Moderate,25.1,Scout,39898,55857,Regular,typeclasses.vehicles.Spacecraft,vehicle/orbital/orb-cr,aetherion-courier-mk-v,orbital,orbital-craft,courier,express-orbital-courier,military,rare,restricted,uncommon,prosperity,scout,,,,upsert,True
Courier sled,V-PHV-CS-AER-T5,Aetherion Courier sled Mk V,PHV-CS,AER,Aetherion Guild,5,Military,Surface,Personal Lift,Courier sled,Personal,light cargo / courier,Sci-Fi / Action,Hover,Grav plates,Antimatter / Gravitic,Composite board,1,2,1,0.19,2.5,0.8,0.3,0.19,91,21,0,0.0,0.0,150,0.9,10,5,7,4,4,16,2,5,148,4.1,Uncommon,Civilian,OPT-24-T5,Smuggler's Compartments Mk V,6124,OPT-21-T5,Field Med Bay Mk V,9979,OPT-32-T5,Science Lab Module Mk V,17296,6874,40273,"Courier sled base frame in the personal lift family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-001,Pulse Stunner Array,WL-002,Light Arc Carbine,2700,5.6,6.6,MINE,DRIFT,civilian,10,Common,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Civic,Low,10.6,Scout,8860,8055,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-cs,aetherion-courier-sled-mk-v,surface,personal-lift,courier-sled,light-cargo-courier,military,uncommon,civilian,common,crew,scout,,,,upsert,True
Cruiser,V-SPC-CR-AER-T5,Aetherion Cruiser Mk V,SPC-CR,AER,Aetherion Guild,5,Military,Space,Starships,Cruiser,Capital,multi-role capital escort,Space Opera,Vacuum,Fusion torch / gravitic,Antimatter / Gravitic,Starship hull,136,185,264,66.84,121.9,37.2,15.2,5670.0,190,0,0,15.5,0.7,123290,63.1,7,9,4,12,6,1588,16,12,34329,670.3,Very Rare,Military,OPT-09-T5,Shield Projector Grid Mk V,16565,OPT-28-T5,Troop Drop Cradle Mk V,13154,OPT-04-T5,Hydrojet Overdrive Mk V,5897,4673292,4708908,"Cruiser base frame in the starships family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-343,Siege Beam Mk 4-C,WL-333,Siege Beam Mk 2-C,326488,97.8,110.8,NAVY,SEC,restricted,73,Very Rare,VEN-013,Bastion Armory 1,arsenal,Corporate,Tier 4 - strategic contract,Military,High,115.5,Siege,706336,1648118,Veteran,typeclasses.vehicles.Spacecraft,vehicle/space/spc-cr,aetherion-cruiser-mk-v,space,starships,cruiser,multi-role-capital-escort,military,very-rare,military,very-rare,corporate,siege,,,,upsert,True
Crystal barge,V-ARC-CB-AER-T5,Aetherion Crystal barge Mk V,ARC-CB,AER,Aetherion Guild,5,Military,Mixed,Arcane Conveyances,Crystal barge,Light,ritual / cargo,Fantasy / Arcane,Arcane,Leyline crystal drive,Antimatter / Gravitic,Crystal lattice,1,2,12,4.11,7.6,4.1,3.6,1.97,123,42,0,5.8,0.3,1960,11.2,9,7,4,4,5,60,4,7,970,8.3,Rare,Restricted,OPT-20-T5,Luxury Cabin Suite Mk V,7031,OPT-24-T5,Smuggler's Compartments Mk V,6124,OPT-32-T5,Science Lab Module Mk V,17296,212047,242498,"Crystal barge base frame in the arcane conveyances family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-305,Point Defense Grid Mk 5-L,WL-300,Point Defense Grid Mk 4-L,17718,11.5,22.5,MINE,DRIFT,civilian,46,Rare,VEN-043,Arcane Atelier 1,atelier,Prosperity,Tier 2 - financed asset,Military,Moderate,26.5,Line,43650,67899,Regular,typeclasses.vehicles.Vehicle,vehicle/mixed/arc-cb,aetherion-crystal-barge-mk-v,mixed,arcane-conveyances,crystal-barge,ritual-cargo,military,rare,restricted,rare,prosperity,line,,,,upsert,True
Cutter,V-ORB-CT-AER-T5,Aetherion Cutter Mk V,ORB-CT,AER,Aetherion Guild,5,Military,Orbital,Orbital Craft,Cutter,Medium,inspection / customs,Hard Sci-Fi,Flight / Vacuum,Rocket / gravitic,Antimatter / Gravitic,Orbital frame,3,5,5,2.23,11.3,6.5,3.7,20.64,268,0,0,6.5,0.0,18616,12.2,9,7,5,6,5,85,6,7,1295,14.5,Rare,Restricted,OPT-01-T5,Afterburner Vector Pack Mk V,5670,OPT-09-T5,Shield Projector Grid Mk V,16565,OPT-29-T5,Long-Range Tankage Mk V,5216,244669,272120,"Cutter base frame in the orbital craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-346,Siege Beam Mk 5-M,WL-336,Siege Beam Mk 3-M,142150,16.8,25.8,NAVY,SEC,restricted,38,Uncommon,VEN-007,Guild Forge 1,shipyard,Prosperity,Tier 2 - financed asset,Military,Moderate,29.8,Line,54424,76194,Regular,typeclasses.vehicles.Spacecraft,vehicle/orbital/orb-ct,aetherion-cutter-mk-v,orbital,orbital-craft,cutter,inspection-customs,military,rare,restricted,uncommon,prosperity,line,,,,upsert,True
Destroyer,V-MAR-DS-AER-T5,Aetherion Destroyer Mk V,MAR-DS,AER,Aetherion Guild,5,Military,Maritime,Sea Vessels,Destroyer,Capital,fleet surface combatant,Nautical / Sci-Fi,Displacement / Foil,Hydrojet / grav keel,Antimatter / Gravitic,Naval hull,32,44,60,35.99,84.7,12.4,10.8,1053.0,96,104,43,0.0,0.0,3380,21.4,6,8,4,10,4,539,12,10,9068,142.8,Very Rare,Military,OPT-11-T5,Countermeasure Cloud Mk V,6577,OPT-27-T5,Bombardment Core Mk V,46872,OPT-04-T5,Hydrojet Overdrive Mk V,5897,1396470,1455816,"Destroyer base frame in the sea vessels family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-143,Plasma Projector Mk 4-C,WL-228,Torpedo Tube Mk 5-C,225550,47.3,58.3,NAVY,SEC,restricted,58,Rare,VEN-031,Pelagic Foundry 1,yard,Industrial,Tier 3 - licensed capital,Military,Moderate,62.7,Siege,262047,407628,Veteran,typeclasses.vehicles.Watercraft,vehicle/maritime/mar-ds,aetherion-destroyer-mk-v,maritime,sea-vessels,destroyer,fleet-surface-combatant,military,very-rare,military,rare,industrial,siege,,,,upsert,True
Dreadnought,V-CAP-DN-AER-T5,Aetherion Dreadnought Mk V,CAP-DN,AER,Aetherion Guild,5,Military,Space,Capital Ships,Dreadnought,Capital,capital ship killer,Epic Space Opera,Vacuum,Capital-grade drives,Antimatter / Gravitic,Citadel hull,357,485,624,267.38,268.6,82.5,52.1,32400.0,131,0,0,9.7,0.5,324255,284.9,5,9,3,14,10,4820,26,17,161914,3697.7,Legendary,Military,OPT-01-T5,Afterburner Vector Pack Mk V,5670,OPT-08-T5,Reactive Plating Array Mk V,12667,OPT-32-T5,Science Lab Module Mk V,17296,26723411,26759044,"Dreadnought base frame in the capital ships family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-343,Siege Beam Mk 4-C,WL-333,Siege Beam Mk 2-C,326488,247.8,262.8,NAVY,SEC,restricted,92,Prototype,VEN-013,Bastion Armory 1,arsenal,Fleet,Tier 5 - fleet budget,Military,Very High,269.5,Siege,3211085,10703618,Veteran,typeclasses.vehicles.Spacecraft,vehicle/space/cap-dn,aetherion-dreadnought-mk-v,space,capital-ships,dreadnought,capital-ship-killer,military,legendary,military,prototype,fleet,siege,,,,upsert,True
Dropship,V-AIR-DS-AER-T5,Aetherion Dropship Mk V,AIR-DS,AER,Aetherion Guild,5,Military,Aerial,Atmospheric Craft,Dropship,Medium,troop / cargo deployment,Aviation / Sci-Fi,Flight,Turbine / gravitic,Antimatter / Gravitic,Aero hull,3,5,29,4.63,12.1,12.9,3.9,7.83,426,0,0,0.0,0.0,1548,3.3,10,6,5,6,4,64,6,7,1223,13.0,Rare,Restricted,OPT-24-T5,Smuggler's Compartments Mk V,6124,OPT-23-T5,Drone Rack Mk V,8165,OPT-29-T5,Long-Range Tankage Mk V,5216,229175,248680,"Dropship base frame in the atmospheric craft family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-296,Point Defense Grid Mk 3-M,WL-256,Boarding Pod Rack Mk 3-M,23960,15.8,24.8,MINE,DRIFT,civilian,38,Uncommon,VEN-001,Transit Dock 1,dealer,Prosperity,Tier 2 - financed asset,Military,Moderate,28.8,Line,49736,69630,Regular,typeclasses.vehicles.Aircraft,vehicle/aerial/air-ds,aetherion-dropship-mk-v,aerial,atmospheric-craft,dropship,troop-cargo-deployment,military,rare,restricted,uncommon,prosperity,line,,,,upsert,True
Duel board,V-PHV-DB-AER-T5,Aetherion Duel board Mk V,PHV-DB,AER,Aetherion Guild,5,Military,Surface,Personal Lift,Duel board,Personal,security / arena,Sci-Fi / Action,Hover,Grav plates,Antimatter / Gravitic,Composite board,1,2,0,0.07,2.0,0.6,0.3,0.14,100,21,0,0.0,0.0,144,0.9,10,5,7,4,4,13,4,5,141,8.1,Uncommon,Civilian,OPT-12-T5,Phase Veil Baffle Mk V,21924,OPT-28-T5,Troop Drop Cradle Mk V,13154,OPT-06-T5,Bio-Muscle Lattice Mk V,6804,5181,47063,"Duel board base frame in the personal lift family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,9.5,10.5,SEC,CIV,civilian,14,Common,VEN-013,Bastion Armory 1,arsenal,Crew,Tier 1 - payroll purchase,Civic,Low,14.5,Line,10354,9413,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-db,aetherion-duel-board-mk-v,surface,personal-lift,duel-board,security-arena,military,uncommon,civilian,common,crew,line,,,,upsert,True
Escort corvette,V-MAR-EC-AER-T5,Aetherion Escort corvette Mk V,MAR-EC,AER,Aetherion Guild,5,Military,Maritime,Sea Vessels,Escort corvette,Heavy,escort / interdiction,Nautical / Sci-Fi,Displacement / Foil,Hydrojet / grav keel,Antimatter / Gravitic,Naval hull,10,14,24,12.34,26.4,8.1,6.4,132.07,100,115,36,0.0,0.0,3043,19.7,7,7,4,8,4,198,8,9,3127,31.1,Very Rare,Military,OPT-08-T5,Reactive Plating Array Mk V,12667,OPT-27-T5,Bombardment Core Mk V,46872,OPT-06-T5,Bio-Muscle Lattice Mk V,6804,545317,611660,"Escort corvette base frame in the sea vessels family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-107,Missile Rack Mk 5-H,WL-217,Torpedo Tube Mk 3-H,96184,25.4,36.4,NAVY,SEC,restricted,50,Rare,VEN-031,Pelagic Foundry 1,yard,Industrial,Tier 3 - licensed capital,Military,Moderate,40.5,Line,110099,171265,Regular,typeclasses.vehicles.Watercraft,vehicle/maritime/mar-ec,aetherion-escort-corvette-mk-v,maritime,sea-vessels,escort-corvette,escort-interdiction,military,very-rare,military,rare,industrial,line,,,,upsert,True
Field ambulance,V-HUV-FA-AER-T5,Aetherion Field ambulance Mk V,HUV-FA,AER,Aetherion Guild,5,Military,Surface,Hover Utility,Field ambulance,Light,medical / evac,Sci-Fi / Military,Hover,Repulsorlift fans,Antimatter / Gravitic,Armored skimmer hull,1,2,7,0.51,5.0,2.6,1.8,3.02,175,35,0,0.0,0.0,811,4.0,9,7,5,4,4,37,4,6,304,8.4,Rare,Restricted,OPT-05-T5,Void Sail Trim Mk V,7258,OPT-07-T5,Ablative Armor Weave Mk V,7938,OPT-32-T5,Science Lab Module Mk V,17296,45399,77891,"Field ambulance base frame in the hover utility family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-385,EMP Projector Mk 5-L,WL-370,EMP Projector Mk 2-L,17646,10.5,19.5,MED,CIV,civilian,34,Uncommon,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Military,Low,23.5,Line,15578,15578,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/huv-fa,aetherion-field-ambulance-mk-v,surface,hover-utility,field-ambulance,medical-evac,military,rare,restricted,uncommon,crew,line,,,,upsert,True
