Vehicle_ID,Vehicle_Name,Template_ID,Template_Name,Manufacturer_ID,Manufacturer_Name,Tech_Tier_ID,Tech_Tier_Name,Domain,Family,Vehicle_Type,Size_Class,Role,Genre_Tag,Lift_Mode,Propulsion,Power_Source,Hull_Type,Crew_Min,Crew_Std,Passenger_Cap,Cargo_t,Length_m,Beam_m,Height_m,Mass_t,Local_Cruise_kph,Water_Cruise_kph,Dive_Depth_m,Vacuum_DeltaV_kps,FTL_pc_day,Range_km,Endurance_days,Agility,Sensors,Stealth,Armor,Shields,HP,Hardpoints,Option_Slots,Operating_Cost_cr_day,Maintenance_Hours_100h,Availability,Legal_Class,Default_Option_1_ID,Default_Option_1,Option_1_Cost_cr,Default_Option_2_ID,Default_Option_2,Option_2_Cost_cr,Default_Option_3_ID,Default_Option_3,Option_3_Cost_cr,Base_Price_cr,Total_Price_cr,Notes,Source_Note,Weapon_Profile_1_ID,Weapon_Profile_1,Weapon_Profile_2_ID,Weapon_Profile_2,Default_Loadout_Cost_cr,Combat_Rating,Threat_Rating,Primary_Faction_Tag,Secondary_Faction_Tag,Civilian_Use_Tag,Rarity_Score,Rarity,Vendor_ID,Vendor_Name,Vendor_Class,Economy_Band,Acquisition_Tier,License_Requirement,Upkeep_Band,Campaign_Balance_Points,Encounter_Role,Salvage_Value_cr,Refit_Cap_cr,Crew_Quality_Minimum,Evennia_Typeclass,Prototype_Key,Vehicle_Slug,Domain_Slug,Family_Slug,Vehicle_Type_Slug,Role_Slug,Tech_Tier_Slug,Availability_Slug,Legal_Class_Slug,Rarity_Slug,Economy_Band_Slug,Encounter_Role_Slug,Lockstring,Spawn_Location_Tag,Home_Tag,Import_Action,Active
V-PHV-HB-NVF-T4,Nova Hover-board Mk IV,PHV-HB,Hover-board,NVF,Nova Forge Interstellar,4,Advanced,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Fusion / Gravitic,Composite board,1,2,0,0.06,1.8,0.6,0.2,0.11,85,19,0,0.0,0.0,119,0.8,10,4,6,4,3,10,3,3,133,5.3,Uncommon,Civilian,OPT-04-T4,Hydrojet Overdrive Mk IV,4493,OPT-07-T4,Ablative Armor Weave Mk IV,6048,OPT-31-T4,Probe Bay Mk IV,4320,3181,18042,Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: clean naval lines and modular mounts. Focus: balanced interstellar yards.,Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,7.3,7.3,CIV,DRIFT,civilian,6,Common,VEN-001,Transit Dock 1,dealer,Street,Tier 0 - petty cash,,Low,10.5,Line,3969,3608,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,nova-hover-board-mk-iv,surface,personal-lift,hover-board,personal-transit,advanced,uncommon,civilian,common,street,line,,,,upsert,True
V-PHV-HB-BLW-T4,Bulwark Hover-board Mk IV,PHV-HB,Hover-board,BLW,Bulwark Heavy Industries,4,Advanced,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Fusion / Gravitic,Composite board,1,2,0,0.07,1.8,0.6,0.2,0.11,77,19,0,0.0,0.0,117,0.9,8,3,5,5,3,10,4,3,132,6.6,Uncommon,Civilian,OPT-04-T4,Hydrojet Overdrive Mk IV,4493,OPT-08-T4,Reactive Plating Array Mk IV,9651,OPT-31-T4,Probe Bay Mk IV,4320,2880,21344,"Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: slab-sided, overbuilt, military surplus aesthetics. Focus: armor and siege hulls.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,9.4,9.4,CIV,DRIFT,civilian,8,Common,VEN-001,Transit Dock 1,dealer,Street,Tier 0 - petty cash,,Low,12.6,Line,4696,4269,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,bulwark-hover-board-mk-iv,surface,personal-lift,hover-board,personal-transit,advanced,uncommon,civilian,common,street,line,,,,upsert,True
V-PHV-HB-AER-T5,Aetherion Hover-board Mk V,PHV-HB,Hover-board,AER,Aetherion Guild,5,Military,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Antimatter / Gravitic,Composite board,1,2,0,0.06,1.9,0.6,0.2,0.12,96,21,0,0.0,0.0,142,0.9,10,5,7,4,4,11,2,4,138,4.1,Uncommon,Civilian,OPT-02-T5,Silent Lift Coils Mk V,4082,OPT-08-T5,Reactive Plating Array Mk V,12667,OPT-31-T5,Probe Bay Mk V,5670,4448,26867,"Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,5.4,6.4,CIV,DRIFT,civilian,10,Common,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Civic,Low,10.4,Line,5911,5373,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,aetherion-hover-board-mk-v,surface,personal-lift,hover-board,personal-transit,military,uncommon,civilian,common,crew,line,,,,upsert,True
V-PHV-HB-NVF-T5,Nova Hover-board Mk V,PHV-HB,Hover-board,NVF,Nova Forge Interstellar,5,Military,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Antimatter / Gravitic,Composite board,1,2,0,0.06,1.9,0.6,0.2,0.12,96,21,0,0.0,0.0,142,0.9,10,5,6,4,4,11,4,4,137,8.0,Uncommon,Civilian,OPT-05-T5,Void Sail Trim Mk V,7258,OPT-09-T5,Shield Projector Grid Mk V,16565,OPT-32-T5,Science Lab Module Mk V,17296,4320,45439,Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: clean naval lines and modular mounts. Focus: balanced interstellar yards.,Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,9.4,10.4,CIV,DRIFT,civilian,14,Common,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Civic,Low,14.4,Line,9997,9088,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,nova-hover-board-mk-v,surface,personal-lift,hover-board,personal-transit,military,uncommon,civilian,common,crew,line,,,,upsert,True
V-PHV-HB-BLW-T5,Bulwark Hover-board Mk V,PHV-HB,Hover-board,BLW,Bulwark Heavy Industries,5,Military,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Antimatter / Gravitic,Composite board,1,2,0,0.07,1.9,0.6,0.2,0.13,86,21,0,0.0,0.0,140,1.0,9,4,5,6,4,11,4,4,136,7.4,Uncommon,Civilian,OPT-02-T5,Silent Lift Coils Mk V,4082,OPT-09-T5,Shield Projector Grid Mk V,16565,OPT-31-T5,Probe Bay Mk V,5670,3891,30208,"Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: slab-sided, overbuilt, military surplus aesthetics. Focus: armor and siege hulls.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,9.7,10.7,CIV,DRIFT,civilian,14,Common,VEN-001,Transit Dock 1,dealer,Crew,Tier 1 - payroll purchase,Civic,Low,14.7,Line,6646,6042,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,bulwark-hover-board-mk-v,surface,personal-lift,hover-board,personal-transit,military,uncommon,civilian,common,crew,line,,,,upsert,True
V-PHV-HB-AER-T6,Aetherion Hover-board Mk VI,PHV-HB,Hover-board,AER,Aetherion Guild,6,Elite,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Quantum / Null-Field,Composite board,1,2,0,0.06,1.9,0.6,0.2,0.14,109,24,0,0.0,0.0,170,1.1,10,5,8,4,5,13,3,4,145,6.8,Uncommon,Civilian,OPT-05-T6,Void Sail Trim Mk VI,9677,OPT-07-T6,Ablative Armor Weave Mk VI,10584,OPT-29-T6,Long-Range Tankage Mk VI,6955,6137,33353,"Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,7.6,8.6,CIV,DRIFT,civilian,12,Common,VEN-013,Bastion Armory 1,arsenal,Crew,Tier 1 - payroll purchase,Civic,Low,13.4,Line,7338,6671,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,aetherion-hover-board-mk-vi,surface,personal-lift,hover-board,personal-transit,elite,uncommon,civilian,common,crew,line,,,,upsert,True
V-PHV-HB-NVF-T6,Nova Hover-board Mk VI,PHV-HB,Hover-board,NVF,Nova Forge Interstellar,6,Elite,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Quantum / Null-Field,Composite board,1,2,0,0.07,1.9,0.6,0.2,0.14,109,24,0,0.0,0.0,170,1.1,10,5,7,5,5,13,4,4,144,8.8,Rare,Civilian,OPT-06-T6,Bio-Muscle Lattice Mk VI,9072,OPT-08-T6,Reactive Plating Array Mk VI,16890,OPT-30-T6,Jump Beacon Mk VI,24685,5929,56576,Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: clean naval lines and modular mounts. Focus: balanced interstellar yards.,Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,9.8,10.8,CIV,DRIFT,civilian,22,Common,VEN-013,Bastion Armory 1,arsenal,Crew,Tier 1 - payroll purchase,Civic,Low,15.6,Line,12447,11315,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,nova-hover-board-mk-vi,surface,personal-lift,hover-board,personal-transit,elite,rare,civilian,common,crew,line,,,,upsert,True
V-PHV-HB-BLW-T6,Bulwark Hover-board Mk VI,PHV-HB,Hover-board,BLW,Bulwark Heavy Industries,6,Elite,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Quantum / Null-Field,Composite board,1,2,0,0.07,1.9,0.6,0.2,0.14,99,24,0,0.0,0.0,166,1.2,9,4,6,6,5,13,5,4,142,10.2,Rare,Civilian,OPT-04-T6,Hydrojet Overdrive Mk VI,7862,OPT-09-T6,Shield Projector Grid Mk VI,22086,OPT-30-T6,Jump Beacon Mk VI,24685,5356,59989,"Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: slab-sided, overbuilt, military surplus aesthetics. Focus: armor and siege hulls.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,11.9,12.9,CIV,DRIFT,civilian,24,Common,VEN-013,Bastion Armory 1,arsenal,Crew,Tier 1 - payroll purchase,Civic,Low,17.7,Line,13198,11998,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,bulwark-hover-board-mk-vi,surface,personal-lift,hover-board,personal-transit,elite,rare,civilian,common,crew,line,,,,upsert,True
V-PHV-HB-AER-T7,Aetherion Hover-board Mk VII,PHV-HB,Hover-board,AER,Aetherion Guild,7,Stellar,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Stellar Core / Singularity,Composite board,1,2,0,0.07,2.0,0.7,0.2,0.16,126,28,0,0.0,0.0,211,1.4,10,6,8,4,6,15,4,5,155,10.2,Rare,Civilian,OPT-04-T7,Hydrojet Overdrive Mk VII,10670,OPT-12-T7,Phase Veil Baffle Mk VII,39672,OPT-32-T7,Science Lab Module Mk VII,31297,8609,90248,"Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: ornate, rune-lit, prestige builds. Focus: arcane finesse.",Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,9.8,12.8,CIV,DRIFT,civilian,30,Uncommon,VEN-013,Bastion Armory 1,arsenal,Crew,Tier 1 - payroll purchase,Civic,Low,18.4,Line,18050,18050,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,aetherion-hover-board-mk-vii,surface,personal-lift,hover-board,personal-transit,stellar,rare,civilian,uncommon,crew,line,,,,upsert,True
V-PHV-HB-NVF-T7,Nova Hover-board Mk VII,PHV-HB,Hover-board,NVF,Nova Forge Interstellar,7,Stellar,Surface,Personal Lift,Hover-board,Personal,personal transit,Sci-Fi / Action,Hover,Grav plates,Stellar Core / Singularity,Composite board,1,2,0,0.07,2.0,0.7,0.2,0.17,126,28,0,0.0,0.0,211,1.4,10,6,7,6,6,15,4,5,153,10.0,Rare,Civilian,OPT-02-T7,Silent Lift Coils Mk VII,7387,OPT-08-T7,Reactive Plating Array Mk VII,22922,OPT-32-T7,Science Lab Module Mk VII,31297,8276,69882,Hover-board base frame in the personal lift family; no-wheels catalog entry. Builder profile: clean naval lines and modular mounts. Focus: balanced interstellar yards.,Generated fictional RPG data; adapt freely.,WL-002,Light Arc Carbine,WL-001,Pulse Stunner Array,2700,10.1,13.1,CIV,DRIFT,civilian,30,Uncommon,VEN-013,Bastion Armory 1,arsenal,Crew,Tier 1 - payroll purchase,Civic,Low,18.7,Line,13976,13976,Green,typeclasses.vehicles.SurfaceVehicle,vehicle/surface/phv-hb,nova-hover-board-mk-vii,surface,personal-lift,hover-board,personal-transit,stellar,rare,civilian,uncommon,crew,line,,,,upsert,True
